contigName	contigLen	totalAvgDepth	final.contigs.fa.gz.SUBERR793599_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793599_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793600_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793600_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793601_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793601_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793603_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793603_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793604_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793604_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793605_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793605_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793606_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793606_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793607_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793607_1.fq.gz.bam-var	final.contigs.fa.gz.SUBERR793608_1.fq.gz.bam	final.contigs.fa.gz.SUBERR793608_1.fq.gz.bam-var
k127_5237	479	2.33131	0	0	0	0	1.25532	0.190712	0	0	1.07599	0.997256	0	0	0	0	0	0	0	0
k127_1768	488	1.88462	0	0	0	0	0	0	0	0	0	0	0	0	0.668639	0.222218	0	0	1.21598	0.603067
k127_32	626	1.41387	0	0	0	0	1.33193	0.222219	0	0	0	0	0	0	0	0	0	0	0.0819328	0.0753784
k127_8714	301	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
k127_5238	301	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k127_3490	347	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k127_33	310	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
k127_1769	416	1.34586	0	0	0	0	0	0	0	0	0	0	1.34586	0.227096	0	0	0	0	0	0
k127_5239	311	6.39752	1.2795	0.402639	0.776398	0.174689	0	0	0	0	0	0	0.819876	0.598602	2	0	0	0	1.52174	0.251087
k127_8715	483	1.85586	0.792793	0.959946	0	0	0	0	0.369369	0.233638	0	0	0	0	0.693694	0.213123	0	0	0	0
k127_6970	731	2	0.354561	0.229243	0.907057	0.0844509	0	0	0.335628	0.223367	0	0	0.204819	0.163152	0.197935	0.159029	0	0	0	0
k127_1770	416	1.55639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.55639	0.247751	0	0
k127_34	577	2.77049	1.19204	0.65787	0.451991	0.248275	0	0	0.269321	0.197249	0	0	0.857143	0.916164	0	0	0	0	0	0
k127_6971	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_5240	603	2.24283	0	0	1.72185	0.692378	0	0	0	0	0	0	0.520971	0.250113	0	0	0	0	0	0
k127_35	301	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
k127_3491	597	1.73154	0	0	0	0	0	0	0	0	0.841163	0.976952	0	0	0.384787	0.237258	0	0	0.505593	0.250529
k127_6972	354	2.94118	0.593137	0.242514	0	0	0	0	1	0	0	0	0	0	0	0	0.970588	1.00406	0.377451	0.236139
k127_5241	458	2.38312	0.909091	0.994966	0	0	0	0	0	0	0	0	0	0	1.47403	0.771312	0	0	0	0
k127_36	471	2.34268	0	0	1.10592	0.0949962	1.23676	0.437519	0	0	0	0	0	0	0	0	0	0	0	0
k127_6973	219	1.84058	0	0	0	0	0	0	0	0	1.84058	0.135976	0	0	0	0	0	0	0	0
k127_8717	1069	4.79761	0.60827	0.467298	1.41893	1.23934	0	0	0.627856	0.233908	0.0489663	0.046621	0.991295	1.68185	0.511425	0.250142	0	0	0.59086	0.24201
k127_5242	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_6974	330	3.76667	0	0	2	0	0	0	0	0	0	0	0	0	1.76667	0.179888	0	0	0	0
k127_1771	1084	2.94433	0	0	0.66167	0.549934	0.269807	0.197225	0.417559	0.661484	0	0	0.858672	0.21366	0	0	0	0	0.736617	1.12884
k127_8718	323	2.16185	0	0	2.16185	0.369001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_6975	301	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k127_1772	413	0.646388	0.646388	0.229443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_8719	441	0.498282	0	0	0	0	0	0	0	0	0	0	0.498282	0.250859	0	0	0	0	0	0
k127_3492	639	1.07362	0	0	0	0	0	0	0	0	0	0	0.805726	0.349476	0	0	0	0	0.267894	0.196529
k127_6977	387	1.74684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.74684	0.333943
k127_8720	301	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k127_1773	622	2.53814	0	0	0	0	0.78178	0.170964	0	0	0	0	1.48517	0.250311	0	0	0	0	0.271186	0.198064
k127_8721	371	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
k127_37	1464	2.83029	0	0	0.66895	0.734951	0	0	0.229072	0.176733	0.538052	0.701137	0	0	0	0	0.343227	0.225589	1.05099	0.962362
k127_6978	444	1.39116	0	0	0	0	1.39116	0.238965	0	0	0	0	0	0	0	0	0	0	0	0
k127_1774	377	0.995595	0	0	0	0	0.995595	0.00440529	0	0	0	0	0	0	0	0	0	0	0	0
k127_38	326	6.8125	0	0	0	0	2	0	0	0	1.91477	0.0784095	1	0	0	0	0	0	1.89773	0.0923378
k127_6979	471	1.1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.70405	0.209015	0.398754	0.240498
k127_1775	425	2.43636	0	0	1.22909	0.724698	0	0	0	0	0	0	1.20727	0.726954	0	0	0	0	0	0
k127_8722	621	2.41401	0	0	0	0	0.575372	0.244841	0	0	0	0	1.83864	2.25902	0	0	0	0	0	0
k127_39	383	3.69957	0	0	0.969957	0.029266	1.81974	0.148402	0	0	0	0	0	0	0.909871	0.0823592	0	0	0	0
