"INTERPRO2GO","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004504 DNA repair protein RadA;",3,1,NA,2,1,3,5,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",3,5,3,2,4,1,1,1,5
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004540 Translation elongation factor EFG/EF2;",2,2,NA,3,2,3,6,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004541 Translation elongation factor EFTu/EF1A, bacterial/organelle;",3,NA,2,2,2,2,3,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004576 Transcription-repair coupling factor;",1,1,1,2,4,NA,2,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004604 DNA recombination/repair protein RecN;",2,2,2,NA,2,NA,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004605 DNA helicase, Holliday junction RuvB-type;",1,NA,1,NA,4,2,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004881 Ribosome biogenesis GTPase RsgA;",1,NA,2,2,NA,1,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005177 Bifunctional kinase-pyrophosphorylase;IPR026565 Putative pyruvate, phosphate dikinase regulatory protein;",2,NA,NA,1,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005337 RapZ-like family;",1,NA,1,1,1,NA,NA,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1,1,NA,1,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005762 UDP-N-acetylmuramoylalanine-D-glutamate ligase;",2,NA,1,1,NA,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005968 Thiamine ABC transporter, ATP-binding protein ThiQ;",1,NA,NA,NA,NA,NA,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006082 Phosphoribulokinase;",1,1,NA,NA,1,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006172 DNA-directed DNA polymerase, family B;IPR029703 DNA polymerase epsilon catalytic subunit;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006194 Glycine-tRNA synthetase, heterodimeric;",1,1,1,1,1,1,1,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006194 Glycine-tRNA synthetase, heterodimeric;IPR015944 Glycine-tRNA ligase, beta subunit;",3,NA,NA,7,NA,3,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006206 Mevalonate/galactokinase;IPR012369 Galactokinase, glycosyltransferase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006298 GTP-binding protein TypA;",2,2,1,NA,3,1,4,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006689 Small GTPase superfamily, ARF/SAR type;",1,1,1,1,NA,4,NA,1,4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR007692 DNA helicase, DnaB type;",1,3,NA,1,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008543 Uncharacterised protein family Ycf2;",7,14,10,4,213,10,3,5,6
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010089 Flavoprotein WrbA-like;IPR037513 NAD(P)H dehydrogenase (quinone), prokaryotic;",1,NA,NA,2,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010114 DNA-binding transcriptional regulator NtrC;",3,4,1,1,4,10,3,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;",2,NA,1,NA,1,NA,1,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011179 Isopentenyl-diphosphate delta-isomerase, FMN-dependent;",2,1,NA,NA,NA,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011829 Tartrate dehydrogenase;",1,NA,NA,NA,NA,NA,1,NA,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012006 tRNA nucleotidyltransferase, proteobacteria;",1,NA,1,1,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012081 Alkyl hydroperoxide reductase subunit F;",1,1,NA,NA,NA,1,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012094 tRNA(Ile)-lysidine synthase;",2,NA,2,2,3,3,2,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012132 Glucose-methanol-choline oxidoreductase;",2,2,4,4,1,2,10,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012133 Alpha-hydroxy acid dehydrogenase, FMN-dependent;",2,NA,2,2,3,1,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012134 Glutamate-5-semialdehyde dehydrogenase;",1,NA,NA,2,2,NA,3,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012259 Dihydrofolate reductase;",1,NA,2,1,2,1,NA,4,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012733 4-hydroxybenzoate 3-monooxygenase;",1,NA,NA,NA,NA,NA,2,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012763 DNA polymerase III, subunit gamma/ tau;",1,2,NA,NA,2,NA,2,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012846 Acetolactate synthase, large subunit, biosynthetic;",1,2,1,4,3,NA,1,4,2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR013344 Ribonucleotide reductase, adenosylcobalamin-dependent;",2,NA,NA,NA,2,1,2,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR013765 DNA recombination and repair protein RecA;",1,2,2,2,3,3,3,5,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR014758 Methionyl-tRNA synthetase;IPR023457 Methionine-tRNA synthetase, type 2;",1,1,NA,1,2,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR015861 ABC transporter, ribose import, RbsA;",2,NA,2,1,3,NA,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR016496 GTPase HflX;",1,NA,2,1,2,1,1,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR020946 Flavin monooxygenase-like;",2,NA,2,1,3,1,NA,3,5
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR020946 Flavin monooxygenase-like;IPR000960 Flavin monooxygenase FMO;",5,4,NA,NA,NA,12,2,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR023693 ABC transporter, vitamin B12, BtuD;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR023950 Flavohemoprotein;",1,NA,1,1,NA,1,3,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR026253 Methionine import ATP-binding protein MetN;",2,NA,1,NA,2,2,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000037 SsrA-binding protein;",1,3,1,NA,4,NA,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000093 DNA recombination protein RecR;",1,NA,1,1,NA,3,2,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000119 Histone-like DNA-binding protein;",3,NA,2,2,1,2,NA,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000123 RNA-directed DNA polymerase (reverse transcriptase), msDNA;",1,NA,NA,1,1,NA,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;",22,23,35,8,3,13,9,45,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;IPR004586 RecBCD enzyme subunit RecB;",1,NA,NA,NA,NA,NA,1,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;IPR005752 ATP-dependent DNA helicase Rep;",1,NA,NA,1,NA,NA,NA,1,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR005738 DNA topoisomerase III;",1,1,1,2,1,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR028612 DNA topoisomerase I, type IA;",4,2,1,3,1,3,2,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000529 Ribosomal protein S6;IPR020814 Ribosomal protein S6, plastid/chloroplast;",1,NA,1,NA,NA,NA,1,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000702 Ribosomal protein L6;IPR019906 Ribosomal protein L6, bacterial-type;",1,NA,1,1,1,1,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000748 Pseudouridine synthase, RsuA/RluB/E/F;",1,1,NA,1,2,3,3,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001001 DNA polymerase III, beta sliding clamp;",1,NA,1,3,2,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001009 Influenza RNA-dependent RNA polymerase subunit PA;IPR037534 Polymerase acidic protein;",1,4,NA,2,2,NA,NA,4,5
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001091 Restriction/modification DNA-methylase;",2,NA,1,2,3,3,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001207 Transposase, mutator type;",1,1,NA,NA,2,1,NA,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001238 DNA-binding, RecF;",1,1,NA,NA,2,NA,1,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1,NA,1,3,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001241 DNA topoisomerase, type IIA;IPR005737 DNA topoisomerase IV, subunit B, Gram-negative;",2,NA,NA,1,1,1,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001288 Translation initiation factor 3;",2,2,2,1,3,NA,NA,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001407 Influenza RNA-dependent RNA polymerase subunit PB1;",1,3,3,3,2,3,4,NA,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001427 Pancreatic ribonuclease;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001591 Influenza RNA-dependent RNA polymerase subunit PB2;",11,5,12,10,4,3,5,4,9
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001719 AP endonuclease 2;",11,3,1,NA,NA,6,4,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001892 Ribosomal protein S13;",1,1,2,NA,1,NA,NA,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002092 DNA-directed RNA polymerase, phage-type;",1,8,3,4,8,8,3,2,8
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002119 Histone H2A;",4,4,8,6,4,2,3,3,4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002166 RNA dependent RNA polymerase, hepatitis C virus;",2,1,1,2,76,20,2,NA,5
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002506 Hepatitis delta virus delta antigen;",1,NA,NA,NA,4,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002514 Transposase IS3/IS911family;",2,3,3,5,4,2,4,8,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002571 Heat-inducible transcription repressor HrcA;",1,NA,1,NA,1,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002848 Translin family;",1,NA,NA,NA,NA,NA,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002910 Floricaula/leafy protein;",2,1,1,1,NA,3,1,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003346 Transposase, IS116/IS110/IS902;",1,1,1,4,3,1,6,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003491 Replication initiation factor;",1,NA,NA,1,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004373 Peptide chain release factor 1;",1,NA,NA,NA,1,2,NA,3,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004476 Ribonuclease II/ribonuclease R;IPR011805 Ribonuclease R;",3,NA,1,1,2,1,1,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004504 DNA repair protein RadA;",3,1,NA,2,1,3,5,NA,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",3,5,3,2,4,1,1,1,5
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004540 Translation elongation factor EFG/EF2;",2,2,NA,3,2,3,6,3,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004541 Translation elongation factor EFTu/EF1A, bacterial/organelle;",3,NA,2,2,2,2,3,2,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004576 Transcription-repair coupling factor;",1,1,1,2,4,NA,2,1,2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004602 UvrABC system subunit A;",4,NA,1,3,4,1,6,4,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004605 DNA helicase, Holliday junction RuvB-type;",1,NA,1,NA,4,2,1,2,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005224 Sugar fermentation stimulation protein;",1,NA,NA,2,NA,NA,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005485 Ribosomal protein L5 eukaryotic/L18 archaeal;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005608 Adenovirus core-capsid bridging protein V;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005650 BlaI transcriptional regulatory family;",1,1,2,4,NA,2,NA,2,3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005742 DNA topoisomerase IV, subunit A, Gram-negative;",1,1,NA,1,1,NA,NA,2,1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005872 Archaeal/bacterial translation initiation factor SUI1;",3,NA,NA,NA,1,1,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006110 RNA polymerase, subunit omega/K/RPB6;",1,NA,NA,NA,1,NA,NA,3,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006172 DNA-directed DNA polymerase, family B;IPR029703 DNA polymerase epsilon catalytic subunit;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006309 DNA polymerase 3, epsilon subunit;",2,1,NA,2,2,NA,NA,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006345 RecD-like DNA helicase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007692 DNA helicase, DnaB type;",1,3,NA,1,1,1,1,1,NA
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007944 Flagellar transcriptional activator FlhC;",1,NA,6,NA,NA,3,1,11,NA
