"eggnog","SUBERR793599","SUBERR793600","SUBERR793601","SUBERR793603","SUBERR793604","SUBERR793605","SUBERR793606","SUBERR793607","SUBERR793608"
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1004 UDP-glucose 6-dehydrogenase;",2,NA,NA,2,NA,2,NA,1,1
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1088 dTDP-glucose 4-6-dehydratase;",1,1,NA,2,1,1,1,2,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1091 Dtdp-4-dehydrorhamnose reductase;",1,NA,NA,NA,NA,1,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1181 cell wall formation (By similarity);",1,1,2,NA,NA,2,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1209 Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity);",1,NA,1,NA,NA,NA,4,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1215 Glycosyl transferase, family 2;",1,1,2,3,1,NA,NA,1,2
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1452 involved in the assembly of LPS in the outer leaflet of the outer membrane. Determines N-hexane tolerance and is involved in outer membrane permeability. Essential for envelope biogenesis (By similarity);",1,NA,NA,NA,1,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1538 Membrane;",3,3,NA,2,NA,6,3,6,1
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1686 Carboxypeptidase;",1,NA,1,NA,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1792 regulation of cell shape;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG1922 Glycosyl transferase, wecb taga cpsf family;",1,NA,NA,3,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2148 sugar transferase;",2,NA,1,2,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2825 Molecular chaperone that interacts specifically with outer membrane proteins, thus maintaining the solubility of early folding intermediates during passage through the periplasm (By similarity);",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2829 Phospholipase;",1,NA,NA,NA,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2853 (LipO)protein;",1,1,NA,NA,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG2943 Involved in the biosynthesis of osmoregulated periplasmic glucans (OPGs) (By similarity);",2,NA,NA,1,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG3524 polysaccharide export;",1,NA,NA,NA,1,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG3773 Cell wall hydrolase;",2,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG3774 glycosyltransferase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG4775 Gram-negative-bacterium-type cell outer membrane assembly;",3,NA,4,NA,1,NA,2,2,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;COG5434 Glycoside hydrolase family 28;",2,1,NA,2,2,1,2,1,1
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG410XPRU Glycosyl transferase, family 2;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG410XQRC dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83);",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG410XR1Y Outer membrane efflux protein;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG410XSF8 Membrane;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG410XTFK glycosyl transferase group 1;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[M] Cell wall/membrane/envelope biogenesis;ENOG41100C9 lipopolysaccharide biosynthesis protein;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG0835 chew protein;",1,1,NA,NA,NA,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1157 flagellum-specific ATP synthase;",1,NA,NA,2,NA,NA,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1256 ciliary or bacterial-type flagellar motility;",2,1,1,NA,NA,3,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1706 Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity);",1,NA,NA,NA,1,NA,4,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1868 FliM is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity);",1,NA,1,NA,NA,NA,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG1989 Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity);",1,NA,NA,NA,1,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG2805 twitching motility protein;",1,NA,NA,NA,NA,NA,2,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG3168 Pilus assembly protein;",1,NA,1,NA,NA,NA,NA,NA,1
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG3225 transport system;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[N] Cell motility;COG3419 Pilus assembly protein tip-associated adhesin;",1,NA,1,NA,NA,NA,NA,2,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0071 response to heat;",1,4,NA,NA,NA,2,1,1,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0225 Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity);",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0265 Serine protease;",1,1,1,1,2,1,1,2,2
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0326 Molecular chaperone. Has ATPase activity (By similarity);",2,NA,1,NA,NA,NA,3,NA,2
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0330 Band 7 protein;",2,NA,1,2,2,1,1,1,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0443 Heat shock protein;",2,2,5,6,1,2,3,2,3
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0450 alkyl hydroperoxide reductase;",1,NA,1,NA,2,1,1,2,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0459 Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions (By similarity);",2,1,3,1,2,3,4,2,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0484 ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins (By similarity);",2,4,NA,2,1,1,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0501 Protease HtpX homolog;",2,NA,NA,3,2,NA,1,1,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0576 Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins, in association with DnaK and GrpE. It is the nucleotide exchange factor for DnaK and may function as a thermosensor. Unfolded proteins bind initially to DnaJ;",1,NA,NA,NA,1,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0606 Mg chelatase subunit ChlI;",1,NA,1,1,NA,1,1,1,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0612 peptidase';",1,1,1,2,2,3,2,2,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0616 Signal peptide peptidase, SppA;",1,NA,1,NA,1,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0625 glutathione Stransferase;",3,NA,NA,6,2,NA,2,5,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0638 The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity);",1,NA,NA,1,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0652 peptidyl-prolyl cis-trans isomerase activity;",1,NA,1,NA,2,1,NA,NA,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0691 Binds specifically to the SsrA RNA (tmRNA) and is required for stable association of SsrA with ribosomes (By similarity);",1,1,NA,NA,2,NA,NA,1,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG0695 Glutaredoxin;",1,NA,NA,NA,NA,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1066 May play a role in the repair of endogenous alkylation damage (By similarity);",1,NA,1,NA,NA,NA,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1219 ATP-dependent specificity component of the Clp protease. It directs the protease to specific substrates. Can perform chaperone functions in the absence of ClpP (By similarity);",1,NA,2,3,1,NA,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG1989 Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity);",1,NA,NA,NA,1,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG3484 20S proteasome, A and B subunits;",1,NA,NA,NA,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG3590 endothelin-converting enzyme;",2,NA,NA,2,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG5021 ubiquitin protein ligase;",1,1,1,1,1,1,NA,1,2
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG5044 GDP dissociation inhibitor;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG5082 zinc finger;",1,NA,NA,1,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;COG5140 Ubiquitin fusion degradation protein;",1,1,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;ENOG410XNV7 aspartic;",1,NA,NA,2,2,1,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;ENOG410XQ83 Anaphase promoting complex subunit 1;",1,NA,NA,NA,NA,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[O] Posttranslational modification, protein turnover, chaperones;ENOG4111DRR beta-amylase 4;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0271 Bola-like protein;",1,NA,1,1,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0317 In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance (By similarity);",2,2,NA,NA,1,NA,1,3,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0467 Circadian clock protein KaiC;",1,NA,2,NA,NA,NA,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0515 Serine Threonine protein kinase;",7,9,4,3,3,8,8,4,6
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0642 Histidine kinase;",2,2,1,1,1,7,1,5,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0643 CheA signal transduction histidine kinase;",2,NA,1,NA,1,NA,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0745 regulatoR;",1,1,3,7,3,7,2,6,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0784 response regulator;",4,NA,NA,NA,1,NA,1,2,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG0835 chew protein;",1,1,NA,NA,NA,2,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1217 gtp-binding protein typa;",2,1,NA,2,2,NA,NA,3,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1734 Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters;",2,NA,NA,NA,NA,1,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG1875 Phoh family;",2,NA,1,NA,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2197 Two component transcriptional regulator, LuxR family;",3,NA,1,1,2,NA,2,2,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2202 Histidine kinase;",1,NA,1,1,1,3,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2204 two component, sigma54 specific, transcriptional regulator, Fis family;",2,1,NA,4,6,4,4,4,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2766 Serine protein kinase;",1,NA,NA,NA,NA,NA,NA,NA,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG2972 Histidine kinase;",2,NA,1,NA,NA,NA,2,1,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG3143 Plays an important role in bacterial chemotaxis signal transduction pathway by accelerating the dephosphorylation of phosphorylated CheY (CheY-P) (By similarity);",1,NA,NA,NA,1,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG3605 phosphoenolpyruvate--protein phosphotransferase;",1,NA,NA,NA,NA,NA,NA,1,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG3712 Anti-feci sigma factor, fecr;",1,1,1,1,2,1,5,4,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG3899 Transcriptional regulator;",1,NA,NA,NA,NA,NA,NA,NA,1
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG3920 Histidine kinase;",1,NA,NA,NA,NA,NA,3,2,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG4566 Two component transcriptional regulator, luxr family;",2,NA,NA,NA,1,1,1,1,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG5001 Diguanylate cyclase phosphodiesterase;",4,NA,1,2,NA,NA,NA,1,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;COG5032 phosphatidylinositol kinase activity;",1,NA,NA,NA,NA,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG410XNMH Histidine kinase;",13,4,20,32,25,23,27,24,6
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG410XPIR Cyclin-Dependent Kinase;",1,NA,2,1,NA,2,NA,1,2
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG410XPJZ phosphorylase kinase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG410XQGS mitogen-activated protein kinase kinase kinase;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG410YSKD FecR protein;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG411002Q His Kinase A (phospho-acceptor) domain;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[T] Signal transduction mechanisms;ENOG4111NYM response regulator;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0342 Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA (By similarity);",1,NA,NA,2,1,NA,2,3,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0616 Signal peptide peptidase, SppA;",1,NA,1,NA,1,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0681 Signal peptidase i;",1,1,1,1,1,NA,1,1,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG0811 MotA TolQ exbB proton channel;",2,NA,2,2,NA,1,4,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG1157 flagellum-specific ATP synthase;",1,NA,NA,2,NA,NA,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG1989 Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue (By similarity);",1,NA,NA,NA,1,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2064 type ii secretion system;",1,NA,NA,NA,1,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2804 type ii secretion system protein e;",1,NA,NA,NA,2,1,2,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2805 twitching motility protein;",1,NA,NA,NA,NA,NA,2,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG2831 Polypeptide-transport-associated domain protein, ShlB-type;",1,NA,NA,1,NA,NA,NA,2,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG3168 Pilus assembly protein;",1,NA,1,NA,NA,NA,NA,NA,1
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG3210 filamentous hemagglutinin family outer membrane protein;",2,NA,2,NA,1,1,1,1,1
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG3419 Pilus assembly protein tip-associated adhesin;",1,NA,1,NA,NA,NA,NA,2,1
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG4795 General secretion pathway protein J;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG4796 Type II and III secretion system protein;",2,NA,1,NA,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG4962 conjugation;",1,NA,1,1,NA,1,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG4963 Pilus assembly protein;",1,NA,2,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG5032 phosphatidylinositol kinase activity;",1,NA,NA,NA,NA,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;COG5082 zinc finger;",1,NA,NA,1,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XNZY NADPH Oxidase;",1,NA,NA,1,2,NA,1,NA,1
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XP6Y The PI(3,5)P2 regulatory complex regulates both the synthesis and turnover of phosphatidylinositol 3,5-bisphosphate (PtdIns(3,5)P2). Necessary for proper vacuole morphology. Plays an important role in osmotically-induced vacuole fragmentation. Required for cytoplasm to vacuole transport (Cvt) vesicle formation, pexophagy and starvation-induced autophagy. Involved in correct atg9 trafficking to the pre-autophagosomal structure. Might also be involved in premeiotic DNA replication (By similarity);",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XRH2 The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins;",2,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XRWI Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane (By similarity);",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XTBQ vesicle-mediated transport;",1,NA,NA,NA,NA,1,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410XV8G Pfam:GSPII_IJ;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410Y2MB Syntaxin 5;",2,NA,NA,NA,NA,NA,1,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410YCNW ryanodine receptor;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG410ZRK6 Chloride intracellular channel;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[U] Intracellular trafficking, secretion, and vesicular transport;ENOG4111GR7 membrane associated DnaJ chaperone;",1,NA,NA,NA,NA,NA,NA,NA,NA
"eggNOG;cellularProcessesAndSignaling;[V] Defense mechanisms;COG0534 Mate efflux family protein;",2,NA,1,1,NA,2,1,NA,NA
