"SEED","SUBERR793599"
"SEED;Amino Acids and Derivatives;Lysine and threonine metabolism in plants;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1
"SEED;Amino Acids and Derivatives;Lysine and threonine metabolism in plants;Threonine synthase (EC 4.2.3.1);",2
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117);",1
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;Diaminopimelate epimerase (EC 5.1.1.7);",1
"SEED;Amino Acids and Derivatives;Lysine Biosynthesis DAP Pathway;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1
"SEED;Amino Acids and Derivatives;Lysine biosynthesis in Streptococci;Diaminopimelate epimerase (EC 5.1.1.7);",1
"SEED;Amino Acids and Derivatives;Lysine biosynthesis in Streptococci;L,L-diaminopimelate aminotransferase (EC 2.6.1.83);",1
"SEED;Amino Acids and Derivatives;Lysine biosynthesis in Streptococci;Threonine synthase (EC 4.2.3.1);",2
"SEED;Amino Acids and Derivatives;Lysine fermentation MCB 432;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Amino Acids and Derivatives;Lysine fermentation MCB 432;Enoyl-CoA hydratase (EC 4.2.1.17);",2
"SEED;Amino Acids and Derivatives;Lysine fermentation;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Amino Acids and Derivatives;Lysine fermentation;Enoyl-CoA hydratase (EC 4.2.1.17);",2
"SEED;Amino Acids and Derivatives;MethanopterinAromatic;3-dehydroquinate synthase (EC 4.2.3.4);",1
"SEED;Amino Acids and Derivatives;MethanopterinAromatic;5-Enolpyruvylshikimate-3-phosphate synthase (EC 2.5.1.19);",1
"SEED;Amino Acids and Derivatives;MethanopterinAromatic;Chorismate synthase (EC 4.2.3.5);",2
"SEED;Amino Acids and Derivatives;Methionine and cysteine metabolism in plants;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54);",1
"SEED;Amino Acids and Derivatives;Methionine and cysteine metabolism in plants;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14);",1
"SEED;Amino Acids and Derivatives;Methionine and cysteine metabolism in plants;Cysteine synthase (EC 2.5.1.47);",1
"SEED;Amino Acids and Derivatives;Methionine Biosynthesis;5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13);",1
"SEED;Amino Acids and Derivatives;Methionine Biosynthesis;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14);",1
"SEED;Amino Acids and Derivatives;Methionine Biosynthesis;Cystathionine gamma-lyase (EC 4.4.1.1);",1
"SEED;Amino Acids and Derivatives;Methionine Biosynthesis;Cystathionine gamma-synthase (EC 2.5.1.48);",1
"SEED;Amino Acids and Derivatives;Methionine Biosynthesis;Cysteine synthase (EC 2.5.1.47);",1
"SEED;Amino Acids and Derivatives;Methionine Degradation;Cystathionine gamma-lyase (EC 4.4.1.1);",1
"SEED;Amino Acids and Derivatives;Methionine Degradation;Pyruvate dehydrogenase E1 component (EC 1.2.4.1);",1
"SEED;Amino Acids and Derivatives;Methionine in Streptococci;5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13);",1
"SEED;Amino Acids and Derivatives;Methionine in Streptococci;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14);",1
"SEED;Amino Acids and Derivatives;Methionine in Streptococci;Cystathionine gamma-lyase (EC 4.4.1.1);",1
"SEED;Amino Acids and Derivatives;Methionine in Streptococci;Cystathionine gamma-synthase (EC 2.5.1.48);",1
"SEED;Amino Acids and Derivatives;Methionine in Streptococci;Cysteine synthase (EC 2.5.1.47);",1
"SEED;Amino Acids and Derivatives;Methionine Salvage;1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase (EC 1.13.11.54);",1
"SEED;Amino Acids and Derivatives;Phenylalanine and Tyrosine Branches from Chorismate;Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57);",3
"SEED;Amino Acids and Derivatives;Phenylalanine and Tyrosine Branches from Chorismate;Prephenate dehydratase (EC 4.2.1.51);",1
"SEED;Amino Acids and Derivatives;PII Superfamily;Cobalt-zinc-cadmium resistance protein CzcA;",2
"SEED;Amino Acids and Derivatives;PII Superfamily;Glutamine synthetase type I (EC 6.3.1.2);",1
"SEED;Amino Acids and Derivatives;PII Superfamily;Nitrogen regulatory protein P-II;",1
"SEED;Amino Acids and Derivatives;Polyamine Metabolism;Agmatinase (EC 3.5.3.11);",1
"SEED;Amino Acids and Derivatives;Sarcosine oxidases, monomeric and heterotetrameric;Serine hydroxymethyltransferase (EC 2.1.2.1);",3
"SEED;Amino Acids and Derivatives;Sarcosine temp;Serine hydroxymethyltransferase (EC 2.1.2.1);",3
"SEED;Amino Acids and Derivatives;Serine Biosynthesis;D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95);",1
"SEED;Amino Acids and Derivatives;Serine Biosynthesis;Phosphoserine aminotransferase (EC 2.6.1.52);",2
"SEED;Amino Acids and Derivatives;Serine Biosynthesis;Serine hydroxymethyltransferase (EC 2.1.2.1);",3
"SEED;Amino Acids and Derivatives;Threonine and Homoserine Biosynthesis;Threonine synthase (EC 4.2.3.1);",2
"SEED;Amino Acids and Derivatives;Tryptophan biosynthesis in Streptococci;Anthranilate synthase, aminase component (EC 4.1.3.27);",1
"SEED;Amino Acids and Derivatives;Tryptophan biosynthesis in Streptococci;Para-aminobenzoate synthase, aminase component (EC 2.6.1.85);",1
"SEED;Amino Acids and Derivatives;Tryptophan biosynthesis in Streptococci;Tryptophan synthase alpha chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tryptophan biosynthesis in Streptococci;Tryptophan synthase beta chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tryptophan metabolism in plants;Anthranilate synthase, aminase component (EC 4.1.3.27);",1
"SEED;Amino Acids and Derivatives;Tryptophan metabolism in plants;Tryptophan synthase alpha chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tryptophan metabolism in plants;Tryptophan synthase beta chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tryptophan synthesis;Anthranilate synthase, aminase component (EC 4.1.3.27);",1
"SEED;Amino Acids and Derivatives;Tryptophan synthesis;Para-aminobenzoate synthase, aminase component (EC 2.6.1.85);",1
"SEED;Amino Acids and Derivatives;Tryptophan synthesis;Tryptophan synthase alpha chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tryptophan synthesis;Tryptophan synthase beta chain (EC 4.2.1.20);",1
"SEED;Amino Acids and Derivatives;Tyrosine and phenylalanine metabolism in plants;Prephenate dehydratase (EC 4.2.1.51);",1
"SEED;Amino Acids and Derivatives;Urea decomposition;Urea ABC transporter, permease protein UrtB;",2
"SEED;Amino Acids and Derivatives;Urea decomposition;Urea ABC transporter, permease protein UrtC;",2
"SEED;Amino Acids and Derivatives;Valine degradation;3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4);",1
"SEED;Amino Acids and Derivatives;Valine degradation;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Amino Acids and Derivatives;Valine degradation;Enoyl-CoA hydratase (EC 4.2.1.17);",2
"SEED;Autotrophy;PII superfamily;Nitrogen regulatory protein P-II;",1
"SEED;Carbohydrates;Acetone Butanol Ethanol Synthesis;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Carbohydrates;Acetyl-CoA biosynthesis in plants;Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4);",2
"SEED;Carbohydrates;Acetyl-CoA fermentation to Butyrate;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Carbohydrates;Acetyl-CoA fermentation to Butyrate;Enoyl-CoA hydratase (EC 4.2.1.17);",2
"SEED;Carbohydrates;acinetobacter tca;2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2);",1
"SEED;Carbohydrates;acinetobacter tca;Aconitate hydratase 2 (EC 4.2.1.3);",1
"SEED;Carbohydrates;acinetobacter tca;Citrate synthase (si) (EC 2.3.3.1);",1
"SEED;Carbohydrates;acinetobacter tca;Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4);",1
"SEED;Carbohydrates;acinetobacter tca;Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4);",2
"SEED;Carbohydrates;acinetobacter tca;Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61);",1
"SEED;Carbohydrates;acinetobacter tca;Fumarate hydratase class II (EC 4.2.1.2);",1
"SEED;Carbohydrates;alpha carboxysome;Nitrogen regulatory protein P-II;",1
"SEED;Carbohydrates;alpha carboxysome;Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.15);",1
"SEED;Carbohydrates;Alpha-Amylase locus in Streptocococcus;Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE;",1
"SEED;Carbohydrates;beta carboxysome;Carbonic anhydrase (EC 4.2.1.1);",1
"SEED;Carbohydrates;Beta-Glucoside Metabolism;Beta-glucosidase (EC 3.2.1.21);",1
"SEED;Carbohydrates;Butanol Biosynthesis;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Carbohydrates;Butanol Biosynthesis;Enoyl-CoA hydratase (EC 4.2.1.17);",2
"SEED;Carbohydrates;Calvin-Benson cycle;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Calvin-Benson cycle;Ribulose-phosphate 3-epimerase (EC 5.1.3.1);",2
"SEED;Carbohydrates;Calvin-Benson-Bassham cycle in plants;Ribulose-phosphate 3-epimerase (EC 5.1.3.1);",2
"SEED;Carbohydrates;Carboxysome;Carbonic anhydrase (EC 4.2.1.1);",1
"SEED;Carbohydrates;Chitin and N-acetylglucosamine utilization;PTS system, N-acetylglucosamine-specific IIB component (EC 2.7.1.69);",1
"SEED;Carbohydrates;Citrate Metabolism KE;Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61);",1
"SEED;Carbohydrates;Citrate Metabolism KE;Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4);",1
"SEED;Carbohydrates;Citrate Metabolism KE;Transaldolase (EC 2.2.1.2);",1
"SEED;Carbohydrates;Citrate Metabolism KE3;2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2);",1
"SEED;Carbohydrates;Citrate Metabolism KE3;Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61);",1
"SEED;Carbohydrates;Citrate Metabolism KE4;2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2);",1
"SEED;Carbohydrates;Citrate Metabolism KE4;Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61);",1
"SEED;Carbohydrates;CO2 uptake, carboxysome;Carbonic anhydrase (EC 4.2.1.1);",1
"SEED;Carbohydrates;D-galactarate, D-glucarate and D-glycerate catabolism - gjo;2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60);",1
"SEED;Carbohydrates;D-galactarate, D-glucarate and D-glycerate catabolism;2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60);",1
"SEED;Carbohydrates;D-Galacturonate and D-Glucuronate Utilization;Endo-1,4-beta-xylanase A precursor (EC 3.2.1.8);",1
"SEED;Carbohydrates;D-gluconate and ketogluconates metabolism;Gluconate utilization system Gnt-I transcriptional repressor;",1
"SEED;Carbohydrates;D-mannitol and D-mannose degradation in plants;Mannose-6-phosphate isomerase (EC 5.3.1.8);",1
"SEED;Carbohydrates;D-ribose utilization;Ribose ABC transport system, permease protein RbsC (TC 3.A.1.2.1);",2
"SEED;Carbohydrates;D-Tagatose and Galactitol Utilization;Tagatose-6-phosphate kinase (EC 2.7.1.144);",1
"SEED;Carbohydrates;Dehydrogenase complexes;2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2);",1
"SEED;Carbohydrates;Dehydrogenase complexes;Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4);",1
"SEED;Carbohydrates;Dehydrogenase complexes;Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61);",1
"SEED;Carbohydrates;Dehydrogenase complexes;Pyruvate dehydrogenase E1 component (EC 1.2.4.1);",1
"SEED;Carbohydrates;Deoxyribose and Deoxynucleoside Catabolism;Thymidine phosphorylase (EC 2.4.2.4);",1
"SEED;Carbohydrates;EC 5.1.3.- Racemases and epimerases acting on carbohydrates and derivatives;Ribulose-phosphate 3-epimerase (EC 5.1.3.1);",2
"SEED;Carbohydrates;EC 5.1.3.- Racemases and epimerases acting on carbohydrates and derivatives;UDP-glucose 4-epimerase (EC 5.1.3.2);",1
"SEED;Carbohydrates;Entner-Doudoroff Pathway;Aldehyde dehydrogenase (EC 1.2.1.3);",3
"SEED;Carbohydrates;Entner-Doudoroff Pathway;Gluconate utilization system Gnt-I transcriptional repressor;",1
"SEED;Carbohydrates;Entner-Doudoroff Pathway;L-arabinolactonase (EC 3.1.1.15);",1
"SEED;Carbohydrates;Entner-Doudoroff Pathway;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Fermentations in Streptococci;NAD(P) transhydrogenase alpha subunit (EC 1.6.1.2);",2
"SEED;Carbohydrates;Folate-mediated one-carbon metabolism in plants;5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14);",1
"SEED;Carbohydrates;Folate-mediated one-carbon metabolism in plants;Serine hydroxymethyltransferase (EC 2.1.2.1);",3
"SEED;Carbohydrates;Folate-mediated one-carbon metabolism in plants;Thymidylate synthase (EC 2.1.1.45);",1
"SEED;Carbohydrates;Formaldehyde assimilation: Ribulose monophosphate pathway;Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16);",2
"SEED;Carbohydrates;Formaldehyde assimilation: Ribulose monophosphate pathway;Ribulose-phosphate 3-epimerase (EC 5.1.3.1);",2
"SEED;Carbohydrates;Fructooligosaccharides(FOS) and Raffinose Utilization;Beta-glucosidase (EC 3.2.1.21);",1
"SEED;Carbohydrates;Fructose utilization;Transaldolase (EC 2.2.1.2);",1
"SEED;Carbohydrates;Galactose degradation in plants;UDP-glucose 4-epimerase (EC 5.1.3.2);",1
"SEED;Carbohydrates;Glycerate metabolism;2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60);",1
"SEED;Carbohydrates;Glycerol and Glycerol-3-phosphate Uptake and Utilization;Glycerol kinase (EC 2.7.1.30);",3
"SEED;Carbohydrates;Glycerol and Glycerol-3-phosphate Uptake and Utilization;Glycerol-3-phosphate ABC transporter, permease protein UgpA (TC 3.A.1.1.3);",1
"SEED;Carbohydrates;Glycerol and Glycerol-3-phosphate Uptake and Utilization;Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46);",3
"SEED;Carbohydrates;Glycerol fermentation to 1,3-propanediol;Cob(I)alamin adenosyltransferase PduO (EC 2.5.1.17);",1
"SEED;Carbohydrates;Glycogen metabolism;4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25);",1
"SEED;Carbohydrates;Glycolate, glyoxylate interconversions;Hypothetical protein GlcG in glycolate utilization operon;",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis in plants;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis in plants;Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90);",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis in Streptococci;Beta-glucosidase (EC 3.2.1.21);",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis in Streptococci;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Glycolysis and Gluconeogenesis;Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90);",1
"SEED;Carbohydrates;Glycolysis test;NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);",1
"SEED;Carbohydrates;Glycolysis test;Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90);",1
"SEED;Carbohydrates;Glyoxylate bypass;Aconitate hydratase 2 (EC 4.2.1.3);",1
"SEED;Carbohydrates;Glyoxylate bypass;Citrate synthase (si) (EC 2.3.3.1);",1
"SEED;Carbohydrates;Glyoxylate bypass;Malate synthase G (EC 2.3.3.9);",1
"SEED;Carbohydrates;Isobutyryl-CoA to Propionyl-CoA Module;3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4);",1
"SEED;Carbohydrates;Isobutyryl-CoA to Propionyl-CoA Module;Butyryl-CoA dehydrogenase (EC 1.3.99.2);",3
"SEED;Carbohydrates;L-Arabinose CS;Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55);",1
"SEED;Carbohydrates;L-Arabinose CS;Hypothetical glycoside hydrolase, family 43, similar to arabinosidase;",1
"SEED;Carbohydrates;L-Arabinose CS;L-arabinolactonase (EC 3.1.1.15);",1
"SEED;Carbohydrates;L-Arabinose utilization;Alpha-N-arabinofuranosidase 2 (EC 3.2.1.55);",1
"SEED;Carbohydrates;L-Arabinose utilization;Hypothetical glycoside hydrolase, family 43, similar to arabinosidase;",1
"SEED;Carbohydrates;L-Arabinose utilization;L-arabinolactonase (EC 3.1.1.15);",1
"SEED;Carbohydrates;L-rhamnose utilization;Aldehyde dehydrogenase A (EC 1.2.1.22);",1
