"INTERPRO2GO","SUBERR793601"
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;IPR013461 ATP-dependent Clp protease ATP-binding subunit ClpA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;IPR017729 Type VI secretion system, ATPase ClpV1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001270 ClpA/B family;IPR017730 Chaperonin ClpB;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001312 Hexokinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001404 Heat shock protein Hsp90 family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001558 HIV negative factor Nef;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001645 Folylpolyglutamate synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;",5
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001806 Small GTPase;IPR017231 Small GTPase Tem1/Spg1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR001977 Dephospho-CoA kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002133 S-adenosylmethionine synthetase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002301 Isoleucine-tRNA ligase;IPR023585 Isoleucine-tRNA ligase, type 1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002302 Leucine-tRNA ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002305 Aminoacyl-tRNA synthetase, class Ic;IPR002306 Tryptophan-tRNA ligase;IPR024109 Tryptophan-tRNA ligase, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002312 Aspartyl/Asparaginyl-tRNA synthetase, class IIb;IPR004522 Asparagine-tRNA ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002316 Proline-tRNA ligase, class IIa;IPR004499 Proline-tRNA ligase, class IIa, archaeal-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002318 Alanine-tRNA ligase, class IIc;IPR023033 Alanine-tRNA ligase, eukaryota/bacteria;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002320 Threonine-tRNA ligase, class IIa;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002423 Chaperonin Cpn60/TCP-1 family;",6
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002624 Deoxynucleoside kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR002736 Triphosphoribosyl-dephospho-CoA protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003136 Cytidylate kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003755 HPr(Ser)  kinase/phosphorylase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003758 Tetraacyldisaccharide 4'-kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR003836 Glucokinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004472 Dethiobiotin synthase BioD;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004487 Clp protease, ATP-binding subunit ClpX;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004491 Heat shock protein HslU;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004525 Elongation factor P--(R)-beta-lysine ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004529 Phenylalanyl-tRNA synthetase, class IIc, alpha subunit;IPR022911 Phenylalanine-tRNA ligase alpha chain 1, bacterial;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004532 Phenylalanine-tRNA ligase, class IIc, beta subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004541 Translation elongation factor EFTu/EF1A, bacterial/organelle;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004576 Transcription-repair coupling factor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004604 DNA recombination/repair protein RecN;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004605 DNA helicase, Holliday junction RuvB-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004807 UvrABC system, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR004881 Ribosome biogenesis GTPase RsgA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005129 SIMIBI class G3E GTPase, ArgK/MeaB;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005252 Coenzyme A biosynthesis bifunctional protein CoaBC;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005255 PdxA family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005337 RapZ-like family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005338 Anhydro-N-acetylmuramic acid kinase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005662 GTP-binding protein Era;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005762 UDP-N-acetylmuramoylalanine-D-glutamate ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005863 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005892 Glycine betaine transport ATP-binding subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR005930 Pyruvate carboxylase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006172 DNA-directed DNA polymerase, family B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006194 Glycine-tRNA synthetase, heterodimeric;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006297 Elongation factor 4;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006298 GTP-binding protein TypA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR006689 Small GTPase superfamily, ARF/SAR type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008209 Phosphoenolpyruvate carboxykinase, GTP-utilising;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR008543 Uncharacterised protein family Ycf2;",10
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010114 DNA-binding transcriptional regulator NtrC;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR010971 Ubiquinone biosynthesis hydroxylase UbiH/COQ6;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR011786 Sulphite reductase (NADPH) hemoprotein, beta subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012006 tRNA nucleotidyltransferase, proteobacteria;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012080 Aspartate-semialdehyde dehydrogenase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012094 tRNA(Ile)-lysidine synthase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012131 Histidinol dehydrogenase;IPR022695 Histidinol dehydrogenase, monofunctional;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012132 Glucose-methanol-choline oxidoreductase;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012133 Alpha-hydroxy acid dehydrogenase, FMN-dependent;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012259 Dihydrofolate reductase;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012724 Chaperone DnaJ;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012734 Dihydroxyacetone kinase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR012846 Acetolactate synthase, large subunit, biosynthetic;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR013765 DNA recombination and repair protein RecA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR014758 Methionyl-tRNA synthetase;IPR023458 Methionine-tRNA ligase, type 1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR015861 ABC transporter, ribose import, RbsA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR015863 ABC transporter, hemin import, HmuV;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR016496 GTPase HflX;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR019987 GTP-binding protein, ribosome biogenesis, YsxC;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR020946 Flavin monooxygenase-like;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR022694 3-hydroxyacyl-CoA dehydrogenase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR023493 N-methyl-L-tryptophan oxidase MTOX;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR023950 Flavohemoprotein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0000166 nucleotide binding;IPR026253 Methionine import ATP-binding protein MetN;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000037 SsrA-binding protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000093 DNA recombination protein RecR;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000119 Histone-like DNA-binding protein;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000119 Histone-like DNA-binding protein;IPR005684 Integration host factor, alpha subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000119 Histone-like DNA-binding protein;IPR005685 Integration host factor, beta subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000164 Histone H3/CENP-A;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;",35
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000212 DNA helicase, UvrD/REP type;IPR014151 DNA helicase, AddA type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR005738 DNA topoisomerase III;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000380 DNA topoisomerase, type IA;IPR028612 DNA topoisomerase I, type IA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000424 Primosome PriB/single-strand DNA-binding;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000529 Ribosomal protein S6;IPR020814 Ribosomal protein S6, plastid/chloroplast;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000702 Ribosomal protein L6;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR000702 Ribosomal protein L6;IPR019906 Ribosomal protein L6, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001001 DNA polymerase III, beta sliding clamp;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001040 Translation Initiation factor eIF- 4e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001091 Restriction/modification DNA-methylase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001241 DNA topoisomerase, type IIA;IPR000565 DNA topoisomerase, type IIA, subunit B;IPR011557 DNA gyrase, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001288 Translation initiation factor 3;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001352 Ribonuclease HII/HIII;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001352 Ribonuclease HII/HIII;IPR022898 Ribonuclease HII;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001406 Pseudouridine synthase I, TruA;IPR041708 Pseudouridine synthase PUS1/ PUS2-like;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001407 Influenza RNA-dependent RNA polymerase subunit PB1;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001448 Small acid-soluble spore protein, alpha/beta-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001591 Influenza RNA-dependent RNA polymerase subunit PB2;",12
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001719 AP endonuclease 2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR001892 Ribosomal protein S13;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002092 DNA-directed RNA polymerase, phage-type;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002119 Histone H2A;",8
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002166 RNA dependent RNA polymerase, hepatitis C virus;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002514 Transposase IS3/IS911family;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002571 Heat-inducible transcription repressor HrcA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR002910 Floricaula/leafy protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003180 Methylpurine-DNA glycosylase;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003346 Transposase, IS116/IS110/IS902;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR003735 Metal-sensitive transcriptional repressor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004261 Hepatitis E virus structural protein 2;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004374 Peptide chain release factor 2;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004476 Ribonuclease II/ribonuclease R;IPR011805 Ribonuclease R;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004538 Haemolysin A /rRNA methyltransferase TlyA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004539 Translation elongation factor EF1A, eukaryotic/archaeal;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004541 Translation elongation factor EFTu/EF1A, bacterial/organelle;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004576 Transcription-repair coupling factor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004602 UvrABC system subunit A;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004605 DNA helicase, Holliday junction RuvB-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR004807 UvrABC system, subunit B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005001 RNA-binding protein Hfq;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005650 BlaI transcriptional regulatory family;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005662 GTP-binding protein Era;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005747 Endonuclease MutS2;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR005790 DNA polymerase III, delta subunit;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006172 DNA-directed DNA polymerase, family B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR006197 Peptidase S24, LexA-like;IPR006200 Transcription regulator LexA;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007069 Transposase, IS801/IS1294;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007811 DNA-directed RNA polymerase III subunit RPC4;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR007944 Flagellar transcriptional activator FlhC;",6
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR009145 U2 auxiliary factor small subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010114 DNA-binding transcriptional regulator NtrC;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010206 Poly(A) polymerase I;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR010744 Bacteriophage CI repressor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011773 DNA-directed RNA polymerase, alpha subunit;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011791 Cd(II)/Pb(II)-responsive transcriptional regulator;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR011907 Ribonuclease III;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012006 tRNA nucleotidyltransferase, proteobacteria;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012156 Cold shock, CspA;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012756 DNA-directed RNA polymerase, subunit beta'';",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012794 Beta-ketoadipate transcriptional regulator, PcaR/PcaU/PobR;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR012933 HicA mRNA interferase family;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR013765 DNA recombination and repair protein RecA;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR017261 DNA mismatch repair protein MutS/MSH;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR018330 RecT family;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019307 RNA-binding protein AU-1/Ribonuclease E/G;IPR004659 Ribonuclease E/G;IPR028878 Ribonuclease E;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR019888 Transcription regulator AsnC-type;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR024627 V(D)J recombination-activating protein 1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR027524 Eukaryotic translation initiation factor 3 subunit H;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR029751 Ribosomal protein L25;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003676 nucleic acid binding;IPR040183 THUMP domain-containing protein 1-like;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR000394 RNA polymerase sigma factor 54;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR000625 Anti-repression trans-activator protein, REV protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR001289 Nuclear transcription factor Y subunit A;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR002481 Ferric-uptake regulator;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR003444 Transcriptional regulator MraZ;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR011791 Cd(II)/Pb(II)-responsive transcriptional regulator;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR012759 RNA polymerase sigma factor RpoH, proteobacteria;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR017275 Transcription factor FapR;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR017392 AP2/ERF transcription factor ERF/PTI6;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR019888 Transcription regulator AsnC-type;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR020449 Transcription regulator HTH, AraC- type;",6
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR022689 Iron dependent repressor;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR029995 Transcriptional activator SfnR/FlbD;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR039779 RFX-like DNA-binding protein;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000039 Ribosomal protein L18e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000054 Ribosomal protein L31e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000218 Ribosomal protein L14P;IPR005745 Ribosomal protein L14P, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000529 Ribosomal protein S6;IPR020814 Ribosomal protein S6, plastid/chloroplast;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000530 Ribosomal protein S12e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000589 Ribosomal protein S15;IPR023029 Ribosomal protein S15P;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000597 Ribosomal protein L3;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000597 Ribosomal protein L3;IPR019927 Ribosomal protein L3, bacterial/organelle-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000702 Ribosomal protein L6;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000702 Ribosomal protein L6;IPR019906 Ribosomal protein L6, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000851 Ribosomal protein S5;IPR005712 Ribosomal protein S5, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001063 Ribosomal protein L22/L17;IPR005727 Ribosomal protein L22, bacterial/chloroplast-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;IPR023053 Ribosomal protein S14, type Z;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001515 Ribosomal protein L32e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001648 Ribosomal protein S18;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001857 Ribosomal protein L19;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001865 Ribosomal protein S2;IPR005706 Ribosomal protein S2, bacteria/mitochondria/plastid;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001892 Ribosomal protein S13;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002150 Ribosomal protein L31;IPR027493 Ribosomal protein L31 type B;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002171 Ribosomal protein L2;IPR005880 Ribosomal protein L2, bacterial/organellar-type;",2
