"INTERPRO2GO","SUBERR793600"
"InterPro2GO;GO:0003674 molecular_function;GO:0003700 DNA-binding transcription factor activity;IPR020449 Transcription regulator HTH, AraC- type;",8
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000077 Ribosomal protein L39e;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000110 Ribosomal protein S1;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000218 Ribosomal protein L14P;IPR005745 Ribosomal protein L14P, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000307 Ribosomal protein S16;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000554 Ribosomal protein S7e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000589 Ribosomal protein S15;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000592 Ribosomal protein S27e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000630 Ribosomal protein S8;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000702 Ribosomal protein L6;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000754 Ribosomal protein S9;IPR023035 Ribosomal protein S9, bacterial/plastid;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR000911 Ribosomal protein L11/L12;IPR006519 Ribosomal protein L11, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001197 Ribosomal protein L10e;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;IPR023036 Ribosomal protein S14, bacterial/plastid;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001209 Ribosomal protein S14;IPR023053 Ribosomal protein S14, type Z;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001648 Ribosomal protein S18;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001684 Ribosomal protein L27;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001857 Ribosomal protein L19;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001865 Ribosomal protein S2;IPR005706 Ribosomal protein S2, bacteria/mitochondria/plastid;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001892 Ribosomal protein S13;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001911 Ribosomal protein S21;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR001971 Ribosomal protein S11;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002132 Ribosomal protein L5;IPR020930 Ribosomal protein L5, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002171 Ribosomal protein L2;IPR005880 Ribosomal protein L2, bacterial/organellar-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002222 Ribosomal protein S19/S15;IPR005732 Ribosomal protein S19, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002583 Ribosomal protein S20;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR002677 Ribosomal protein L32p;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR005704 Ribosomal protein S3, bacterial-type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR006032 Ribosomal protein S12/S23;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR016939 Mitochondrial ribosomal protein S25;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR017264 Ribosomal protein MRP10, mitochondrial;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR026569 Ribosomal protein L28/L24;",4
"InterPro2GO;GO:0003674 molecular_function;GO:0003735 structural constituent of ribosome;IPR039547 60S ribosomal protein L19;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR001207 Transposase, mutator type;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR002514 Transposase IS3/IS911family;",3
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0004803 transposase activity;IPR003346 Transposase, IS116/IS110/IS902;",1
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR000484 Photosynthetic reaction centre, L/M;IPR005868 Photosystem II D2 protein;",2
"InterPro2GO;GO:0003674 molecular_function;GO:0003824 catalytic activity;GO:0016491 oxidoreductase activity;GO:0009055 electron transfer activity;IPR000516 Nickel-dependent hydrogenase b-type cytochrome subunit;",20
